Material	Material	PNF (Precio Neto Fabrica)	IEPS (Impuesto Especial sobre Producci—n y Servicios)	IVA	Precio Final
2344	CIEL EXPRIM LIMON 1.00 L NR PET 6	84.21	0.00	10.69	77.50
2345	CIEL EXPRIM MORAS 1.00 L NR PET 6	84.21	0.00	10.69	77.50
2346	CIEL EXPRIM JAMAIC 1.50 L NR PET 6	92.83	0.00	12.07	87.50
2347	CIEL EXPRIM LIMON 1.50 L NR PET 6	92.83	0.00	12.07	87.50
2348	CIEL EXPRIM JAMAIC 600 ML NR PET 6	72.14	0.00	8.76	63.50
2349	CIEL EXPRIM LIMON 600 ML NR PET 6	72.14	0.00	8.76	63.50
2350	CIEL EXPRIM MORAS 600 ML NR PET 6	72.14	0.00	8.76	63.50
2351	CIEL EXPRIM MANDAR 600 ML NR PET 6	72.14	0.00	8.76	63.50
2352	DVALLE Y NADA LIMO 1.50 L NR PET 8	119.20	18.88	19.31	139.99
2353	DVALLE Y NADA NARA 1.50 L NR PET 8	119.20	18.88	19.31	139.99
2356	DVALLE Y NADA LIMO 235 ML NR LAT 12	112.53	4.44	15.93	115.50
2357	DVALLE Y NADA NARA 235 ML NR LAT 12	112.53	4.44	15.93	115.50
2360	DVALLE Y NADA LIMO 600 ML NR PET 12	141.85	11.33	21.72	157.50
2361	DVALLE Y NADA NARA 600 ML NR PET 12	141.85	11.33	21.72	157.50
2362	DVALLE Y NADA LIMO 450 ML NR LAT 12 BAJA	116.18	0.00	15.80	114.58
2363	DVALLE Y NADA NARA 450 ML NR LAT 12 BAJA	113.08	8.50	16.67	120.85
2375	FUZE TEA NEGRO JAZ 600 ML NR PET 6	106.73	5.67	0.00	95.00
2378	CIEL EXPRIM MANDAR 1.00 L NR PET 6	84.21	0.00	10.69	77.50
2383	FUZE TEA VERDE LIM 9.00 L NR BIB 1	"1,052.79"	84.98	0.00	"1,120.37"
2406	DONUT SHOP COFFEE 237 ML NR CAP 12	120.85	0.00	0.00	103.45
2407	DONUT SHOP DECAF 237 ML NR CAP 12	120.85	0.00	0.00	103.45
2408	DONUT SHOP COFF VA 237 ML NR CAP 12	120.85	0.00	0.00	103.45
2409	GREEN M COFFEE BRE 237 ML NR CAP 12	120.85	0.00	0.00	103.45
2410	GREEN M COFFEE DAR 237 ML NR CAP 12	137.40	0.00	0.00	120.00
2413	GREEN M COFFEE FRE 237 ML NR CAP 12	120.85	0.00	0.00	103.45
2414	GREEN M COFFEE HAZ 237 ML NR CAP 12	120.85	0.00	0.00	103.45
2415	CAFƒ ESCAPES MOCHA 237 ML NR CAP 12	185.40	0.00	0.00	168.00
2429	COCA-COLA 235 ML NR VID 12	148.74	4.44	21.72	157.50
2430	COCA-COLA LIGHT 235 ML NR VID 12	153.18	0.00	21.72	157.50
2432	POWERADE MORAS 20.0 L NR BIB 1	389.99	31.47	0.00	404.06
2435	COCA-COLA LIGHT 235 ML NR VID 24	288.95	0.00	43.45	315.00
2442	COCA-COLA 235 ML NR VID 12 MPK	148.74	4.44	21.72	157.50
2444	COCA-COLA LIGHT 235 ML NR VID 12 MPK	153.18	0.00	21.72	157.50
2445	CIEL EXPRIM LIMON 9.00 L NR BIB 1	925.79	0.00	145.34	"1,053.73"
2446	CIEL EXPRIM JAMAIC 9.00 L NR BIB 1	925.79	0.00	145.34	"1,053.73"
2478	MONSTER ENERGY ORI 473 ML NR LAT 4	104.08	2.97	17.93	107.58
2482	JOYA DURAZNO 1.75 L NR PET 8	164.33	22.03	27.03	195.99
2483	JOYA FRESA 1.75 L NR PET 8	164.33	22.03	27.03	195.99
2484	JOYA UVA 1.75 L NR PET 8	164.33	22.03	27.03	195.99
2485	JOYA PONCHE 1.75 L NR PET 8	164.33	22.03	27.03	195.99
2486	JOYA PI„A 1.75 L NR PET 8	164.33	22.03	27.03	195.99
2491	COCA-COLA 235 ML NR LAT 24 MPK	280.08	8.88	43.45	315.01
2494	VALLE FRUT MANGO 355 ML NR PET 12	120.69	6.70	0.00	109.99
2496	ILLY DARK 237 ML NR CAP 10	217.40	0.00	0.00	200.00
2497	ILLY MEDIUM 237 ML NR CAP 10	217.40	0.00	0.00	200.00
2498	CAFƒ ESCAPES CHAI 237 ML NR CAP 12	185.40	0.00	0.00	168.00
2499	GMC COFFEHOUSE CAP 237 ML NR CAP 6	137.40	0.00	0.00	120.00
2500	GMC COFFEHOUSE SAL 237 ML NR CAP 6	137.40	0.00	0.00	120.00
2502	SWISS MISS HOT CHO 237 ML NR CAP 12	185.40	0.00	0.00	168.00
2503	CELESTIAL S GREEN 237 ML NR CAP 12	125.40	0.00	0.00	108.00
2504	CELESTIAL S ENGBRE 237 ML NR CAP 12	125.40	0.00	0.00	108.00
2505	CINNABON CLASSIC C 237 ML NR CAP 12	137.40	0.00	0.00	120.00
2514	MONSTER ENERGY LO 473 ML NR LAT 4	104.08	0.00	13.87	100.55
2515	MONSTER E ZERO ULT 473 ML NR LAT 4	106.37	0.00	14.24	103.21
2531	MONSTER ENERGY LO 473 ML NR LAT 6	148.11	4.47	27.04	162.22
2532	MONSTER E ZERO ULT 473 ML NR LAT 6	151.54	0.00	26.83	160.97
2546	PUNTADELCIELO CAFE 237 ML NR CAP 12	161.40	0.00	0.00	144.00
2556	CIEL EXPRIM MORAS 9.00 L NR BIB 1	925.79	0.00	145.34	"1,053.73"
2557	CIEL EXPRIM MANDAR 9.00 L NR BIB 1	925.79	0.00	145.34	"1,053.73"
2562	CIEL SAB UVA 125 ML NR TPK 10	37.38	1.97	0.00	21.95
2563	DVALLE Y NADA JAMA 1.50 L NR PET 8	119.20	18.88	19.31	139.99
2565	DVALLE Y NADA JAMA 600 ML NR PET 12	141.85	11.33	21.72	157.50
2571	STA CLARA SEMIDESC 1.00 L NR TPK 6	175.90	0.00	0.00	158.50
2574	COCA COLA SIN AZòC 2.50 L NR PET 8	270.85	0.00	40.55	294.00
2576	COCA COLA SIN AZòC 1.50 L NR PET 8	186.37	0.00	27.04	196.01
2577	COCA COLA SIN AZòC 600 ML NR PET 12	189.38	0.00	27.52	199.50
2578	COCA COLA SIN AZòC 500 ML NR VID 24	216.54	0.00	31.86	231.00
2579	COCA COLA SIN AZòC 500 ML RT VID 24	252.74	0.00	37.65	272.99
2580	COCA COLA SIN AZòC 355 ML NR LAT 24	361.37	0.00	55.04	399.01
2581	COCA COLA SIN AZòC 355 ML RT VID 24	216.54	0.00	31.86	231.00
2582	COCA COLA SIN AZòC 235 ML NR VID 12	153.18	0.00	21.72	157.50
2583	COCA COLA SIN AZòC 355 ML NR PET 12	144.12	0.00	20.28	147.00
2584	COCA COLA SIN AZòC 235 ML NR LAT 24	288.95	0.00	43.45	315.00
2585	COCA COLA SIN AZòC 9.00 L NR BIB 1	843.76	0.00	132.22	958.58
2587	COCA COLA SIN AZòC 355 ML NR LAT 6	104.90	0.00	14.00	101.50
2588	COCA COLA SIN AZòC 235 ML NR LAT 12	153.12	0.00	21.72	157.44
2590	COCA COLA SIN AZòC 235 ML NR LAT 8 MPK	107.88	0.00	14.48	104.96
2591	COCA COLA SIN AZòC 355 ML NR LAT 6 MPK	104.90	0.00	14.00	101.50
2592	DVALLE Y NADA LIMO 235 ML NR LAT 12 BAJA	113.02	0.00	15.30	110.92
2593	DVALLE Y NADA LIMO 450 ML NR LAT 12 BAJA	116.19	0.00	15.81	114.60
2594	DVALLE Y NADA LIMO 600 ML NR PET 12 BAJA	143.10	0.00	20.11	145.81
2595	DVALLE Y NADA LIMO 1.50 L NR PET 8 BAJA	121.29	0.00	16.62	120.51
2600	CIEL EXPRIM LIMON 355 ML NR PET 12	107.92	0.00	14.48	105.00
2601	CIEL EXPRIM JAMAIC 355 ML NR PET 12	107.92	0.00	14.48	105.00
2602	COCA COLA SIN AZòC 235 ML NR LAT 4	62.64	0.00	7.24	52.48
2611	DV BLENDS P„A-MAND 400 ML NR PET 6	81.62	3.78	0.00	68.00
2612	DV 100% JU NARANJA 946 ML NR TPK 12	347.90	0.00	0.00	330.50
2613	DEL VALLE NC MANZ 946 ML NR TPK 12	265.03	17.86	0.00	265.49
2614	DEL VALLE MANZANA 946 ML NR TPK 12	265.03	17.86	0.00	265.49
2615	DEL VALLE UVA 946 ML NR TPK 12	265.03	17.86	0.00	265.49
2616	DEL VALLE DURAZNO 946 ML NR TPK 12	265.03	17.86	0.00	265.49
2617	DEL VALLE MANGO 946 ML NR TPK 12	265.03	17.86	0.00	265.49
2618	DEL VALLE PI„A 946 ML NR TPK 12	282.90	0.00	0.00	265.50
2625	SCL LECHE ENTERA 1.00 L NR TPK 2	70.23	0.00	0.00	52.83
2626	SCL LECHE LIGHT 1.00 L NR TPK 2	70.23	0.00	0.00	52.83
2627	SCL LECHE DESLAC 1.00 L NR TPK 2	72.07	0.00	0.00	54.67
2628	SCL LECHE LIGHTDES 1.00 L NR TPK 2	72.07	0.00	0.00	54.67
2648	CIEL EXPRIM FRESA 600 ML NR PET 6	72.14	0.00	8.76	63.50
2649	CIEL EXPRIM FRESA 1.00 L NR PET 6	84.21	0.00	10.69	77.50
2650	CIEL EXPRIM FRESA 1.50 L NR PET 6	92.83	0.00	12.07	87.50
2651	CIEL EXPRIM FRESA 355 ML NR PET 12	107.92	0.00	14.48	105.00
2655	COCA COLA SIN AZòC 2.50 L NR PET 4	144.12	0.00	20.28	147.00
2656	COCA COLA SIN AZòC 1.50 L NR PET 4	101.88	0.00	13.52	98.00
2657	COCA-COLA LIGHT 1.50 L NR PET 4	101.88	0.00	13.52	98.00
2662	COCA-COLA 235 ML NR LAT 4	61.16	1.48	7.24	52.48
2663	COCA COLA SIN AZòC 600 ML NR PET 6	104.47	0.00	13.93	101.00
2678	COCA COLA SIN AZòC 1.00 L NR PET 12	198.43	0.00	28.96	209.99
2682	JOYA PONCHE 1.50 L NR PET 8	167.48	18.88	27.03	195.99
2691	COCA COLA SIN AZòC 235 ML NR LAT 24 MPK	288.95	0.00	43.45	315.00
2692	DVALLE Y NADA NARA 1.50 L NR PET 8 BAJA	121.29	0.00	16.62	120.51
2694	DVALLE Y NADA NARA 235 ML NR LAT 12 BAJA	113.02	0.00	15.30	110.92
2696	DVALLE Y NADA NARA 600 ML NR PET 12 BAJA	143.10	0.00	20.11	145.81
2708	ADES FRUTAL DURAZN 200 ML NR TPK 4	47.14	1.26	0.00	31.00
2709	ADES FRUTAL MANGO 200 ML NR TPK 4	47.14	1.26	0.00	31.00
2710	ADES FRUTAL MANZAN 200 ML NR TPK 4	47.14	1.26	0.00	31.00
2711	ADES FRUTAL NARANJ 200 ML NR TPK 40	324.81	12.59	0.00	320.00
2712	ADES FRUTAL UVA 200 ML NR TPK 4	47.14	1.26	0.00	31.00
2713	ADES SOYA CHOCOLAT 200 ML NR TPK 4	47.64	1.26	0.00	31.50
2714	ADES FRUTAL GUANAB 946 ML NR TPK 3	78.43	4.45	0.00	65.48
2715	ADES FRUTAL MANZAN 946 ML NR TPK 3	78.43	4.45	0.00	65.48
2716	ADES FRUTAL NARANJ 946 ML NR TPK 3	78.43	4.45	0.00	65.48
2717	ADES SOYA NATURAL 946 ML NR TPK 3	97.43	4.45	0.00	84.48
2718	ADES SOYA LGNAT 946 ML NR TPK 3	97.62	0.00	0.00	80.22
2719	ADES SOYA NATURAL 946 ML NR TPK 2	69.93	2.97	0.00	55.50
2720	ADES FRUTAL DURAZN 946 ML NR TPK 12	258.03	17.86	0.00	258.49
2721	ADES FRUTAL FRESA 946 ML NR TPK 12	258.03	17.86	0.00	258.49
2722	ADES FRUTAL LGMGO 946 ML NR TPK 12	258.77	0.00	0.00	241.37
2723	ADES FRUTAL LGMZA 946 ML NR TPK 12	258.77	0.00	0.00	241.37
2724	ADES FRUTAL LGNJA 946 ML NR TPK 12	258.77	0.00	0.00	241.37
2725	ADES FRUTAL MANGO 946 ML NR TPK 12	258.03	17.86	0.00	258.49
2726	ADES FRUTAL PI„A C 946 ML NR TPK 12	258.03	17.86	0.00	258.49
2727	ADES FRUTAL UVA 946 ML NR TPK 12	258.03	17.86	0.00	258.49
2728	ADES SOYA CHOCOLAT 946 ML NR TPK 12	335.03	17.86	0.00	335.49
2729	ADES SOYA FRAPCOC/ 946 ML NR TPK 12	335.03	17.86	0.00	335.49
2731	ADES SOYA NUEZC/CA 946 ML NR TPK 12	335.03	17.86	0.00	335.49
2732	ADES SOYA VAINILLA 946 ML NR TPK 12	335.03	17.86	0.00	335.49
2735	FUZE TEA NEGRO LIM 250 ML NR VID 6	65.04	2.36	0.00	50.00
2736	FUZE TEA VERDE LIM 250 ML NR VID 6	65.04	2.36	0.00	50.00
2737	FUZE TEA NEGRO LIM 413 ML NR VID 6	78.50	3.90	0.00	65.00
2738	FUZE TEA VERDE LIM 413 ML NR VID 6	78.50	3.90	0.00	65.00
2742	FANTA NARANJA 355 ML NR LSL 4	72.48	2.23	9.17	66.48
2743	FANTA UVA 355 ML NR LSL 4	72.48	2.23	9.17	66.48
2744	FANTA PI„A 355 ML NR LSL 4	72.48	2.23	9.17	66.48
2745	FANTA FRESA 355 ML NR LSL 4	72.48	2.23	9.17	66.48
2746	COCA-COLA 473 ML NR LAT 12 EA F	198.60	8.92	30.42	220.54
2747	COCA COLA SIN AZòC 473 ML NR LAT 12 EA F	207.49	0.00	30.41	220.50
2756	COCA COLA SIN AZòC 235 ML NR LAT 8	107.88	0.00	14.48	104.96
2758	VAN HOUTTE CAPPUCC 237 ML NR CAP 6	137.40	0.00	0.00	120.00
2761	POWERADE NARANJA 20.0 L NR BIB 1	389.99	31.47	0.00	404.06
2762	BARISTA BROS HELAD 250 ML NR PET 6	98.90	0.00	0.00	81.50
2763	BARISTA BROS DEXP 250 ML NR PET 6	98.90	0.00	0.00	81.50
2767	DVALLE Y NADA COCO 600 ML NR PET 12	141.85	11.33	21.72	157.50
2768	DVALLE Y NADA COCO 235 ML NR LAT 12	112.53	4.44	15.93	115.50
2776	DVALLE NUTRIF NARA 200 ML NR TPK 4	44.14	1.26	0.00	28.00
2777	DVALLE NUTRIF MANG 200 ML NR TPK 4	44.14	1.26	0.00	28.00
2785	SCL LECHE FRESA 200 ML NR TPK 6	78.40	0.00	0.00	61.00
2786	SCL LECHE CHOCOLAT 200 ML NR TPK 6	78.40	0.00	0.00	61.00
2787	SCL LECHE VAINILLA 200 ML NR TPK 6	78.40	0.00	0.00	61.00
2788	SCL LECHE CAPPUCCI 200 ML NR TPK 6	78.40	0.00	0.00	61.00
2808	SCL YOGURT BAT NAT 1.00 L NR PET 1	47.40	0.00	0.00	30.00
2822	COCA-COLA LIGHT 355 ML NR LAT 12 MPK	189.38	0.00	27.52	199.50
2823	DVALLE RESERVA ARç 237 ML NR PET 6	73.66	2.23	0.00	58.49
2824	DVALLE RESERVA GRA 237 ML NR PET 6	73.66	2.23	0.00	58.49
2825	DEL VALLE DURAZNO 237 ML NR PET 6	69.16	2.23	0.00	53.99
2826	DEL VALLE MANGO 237 ML NR PET 6	69.16	2.23	0.00	53.99
2827	DEL VALLE MANZANA 237 ML NR PET 6	69.16	2.23	0.00	53.99
2828	DEL VALLE NC MANZ 237 ML NR PET 6	69.16	2.23	0.00	53.99
2829	DEL VALLE GUAYABA 237 ML NR PET 6	69.16	2.23	0.00	53.99
2830	CIEL EXPRIM COCOFR 600 ML NR PET 6	72.14	0.00	8.76	63.50
2831	CIEL EXPRIM COCOFR 1.00 L NR PET 6	84.21	0.00	10.69	77.50
2832	CIEL EXPRIM COCOFR 1.50 L NR PET 6	92.83	0.00	12.07	87.50
2833	CIEL EXPRIM COCOFR 355 ML NR PET 12	107.92	0.00	14.48	105.00
2834	SCL LECHE CHOCOLAT 250 ML NR PET 6	97.40	0.00	0.00	80.00
2835	SCL LECHE FRESA 250 ML NR PET 6	97.40	0.00	0.00	80.00
2836	SCL LECHE CAJETA 200 ML NR TPK 3	46.90	0.00	0.00	29.50
2838	SCL YOGURT BEB FRE 235 ML NR PET 1	29.40	0.00	0.00	12.00
2839	SCL YOGURT BEB DUR 235 ML NR PET 1	29.40	0.00	0.00	12.00
2840	SCL YOGURT BEB MGO 235 ML NR PET 1	29.40	0.00	0.00	12.00
2841	SCL YOGURT BEB MZA 235 ML NR PET 1	29.40	0.00	0.00	12.00
2842	SCL YOGURT BEB GUA 235 ML NR PET 1	29.40	0.00	0.00	12.00
2843	DVALLE Y NADA COCO 1.50 L NR PET 8	119.20	18.88	19.31	139.99
2848	DEL VALLE NARANJA 946 ML NR TPK 12	265.03	17.86	0.00	265.49
